solver,seed,case_id,gate,case_score,answer_match,inspect_match,uncertain_match,audit_links_match,query_sets_match,error
llama_cpp,0,seed0_transfer,random_symbol_transfer,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,0,seed0_support_binding,support_conditioned_binding,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,0,seed0_counterfactual,counterfactual_use,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,0,seed0_local_edit,local_edit_locality,0.0,1.0,1.0,1.0,1.0,0.0,
llama_cpp,0,seed0_audit,audit_correctness,0.0,1.0,0.0,1.0,1.0,1.0,
llama_cpp,0,seed0_noncritical_missing,missing_observation_uncertainty,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,0,seed0_budgeted_inspect,budgeted_inspect,0.0,1.0,0.0,0.0,1.0,1.0,
llama_cpp,1,seed1_transfer,random_symbol_transfer,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,1,seed1_support_binding,support_conditioned_binding,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,1,seed1_counterfactual,counterfactual_use,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,1,seed1_local_edit,local_edit_locality,0.0,1.0,1.0,1.0,1.0,0.0,
llama_cpp,1,seed1_audit,audit_correctness,0.0,1.0,0.0,1.0,0.0,1.0,
llama_cpp,1,seed1_noncritical_missing,missing_observation_uncertainty,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,1,seed1_budgeted_inspect,budgeted_inspect,0.0,1.0,0.0,0.0,1.0,1.0,
llama_cpp,2,seed2_transfer,random_symbol_transfer,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,2,seed2_support_binding,support_conditioned_binding,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,2,seed2_counterfactual,counterfactual_use,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,2,seed2_local_edit,local_edit_locality,0.0,1.0,1.0,1.0,1.0,0.0,
llama_cpp,2,seed2_audit,audit_correctness,0.0,1.0,0.0,1.0,0.0,1.0,
llama_cpp,2,seed2_noncritical_missing,missing_observation_uncertainty,1.0,1.0,1.0,1.0,1.0,1.0,
llama_cpp,2,seed2_budgeted_inspect,budgeted_inspect,0.0,1.0,1.0,0.0,1.0,1.0,
