model,seed,site,intervention_type,base_accuracy,intervened_accuracy,accuracy_drop,applicable
pure_prediction,0,query_embedding,zero_ablation,0.8550000190734863,0.26499998569488525,0.5900000333786011,True
pure_prediction,0,query_embedding,shuffle_ablation,0.8550000190734863,0.39500001072883606,0.46000000834465027,True
pure_prediction,0,query_embedding,noise_replacement,0.8550000190734863,0.33500000834465027,0.5200000107288361,True
pure_prediction,0,query_embedding,swap_ablation,0.8550000190734863,0.39500001072883606,0.46000000834465027,True
pure_prediction,0,query_embedding,linear_relation_subspace_removal,0.8550000190734863,0.6949999928474426,0.1600000262260437,True
pure_prediction,0,query_embedding,linear_nuisance_subspace_removal,0.8550000190734863,0.9599999785423279,0.0,True
pure_prediction,0,support_relation_state,zero_ablation,0.0,0.0,0.0,False
pure_prediction,0,support_relation_state,shuffle_ablation,0.0,0.0,0.0,False
pure_prediction,0,support_relation_state,noise_replacement,0.0,0.0,0.0,False
pure_prediction,0,support_relation_state,swap_ablation,0.0,0.0,0.0,False
pure_prediction,0,support_relation_state,linear_relation_subspace_removal,0.0,0.0,0.0,False
pure_prediction,0,support_relation_state,linear_nuisance_subspace_removal,0.0,0.0,0.0,False
pure_prediction,0,edit_embedding,zero_ablation,0.0,0.0,0.0,False
pure_prediction,0,edit_embedding,shuffle_ablation,0.0,0.0,0.0,False
pure_prediction,0,edit_embedding,noise_replacement,0.0,0.0,0.0,False
pure_prediction,0,edit_embedding,swap_ablation,0.0,0.0,0.0,False
pure_prediction,0,edit_embedding,linear_relation_subspace_removal,0.0,0.0,0.0,False
pure_prediction,0,edit_embedding,linear_nuisance_subspace_removal,0.0,0.0,0.0,False
pure_prediction,0,combined_hidden,zero_ablation,0.8550000190734863,0.26499998569488525,0.5900000333786011,True
pure_prediction,0,combined_hidden,shuffle_ablation,0.8550000190734863,0.39500001072883606,0.46000000834465027,True
pure_prediction,0,combined_hidden,noise_replacement,0.8550000190734863,0.33500000834465027,0.5200000107288361,True
pure_prediction,0,combined_hidden,swap_ablation,0.8550000190734863,0.39500001072883606,0.46000000834465027,True
pure_prediction,0,combined_hidden,linear_relation_subspace_removal,0.8550000190734863,0.6949999928474426,0.1600000262260437,True
